issue,draw_date,week,numbers,numbers_sorted,numbers_sequence,sale_money,prize_pool_money,fix_pool_money,source
2020001,2020-10-28,星期三,06 08 15 27 28 30 37 38 39 44 46 49 51 52 59 70 75 77 78 80,06 08 15 27 28 30 37 38 39 44 46 49 51 52 59 70 75 77 78 80,15 51 80 46 37 52 27 77 49 44 28 59 38 75 70 39 78 06 08 30,16754776,12856303.35,,zhcw_jsonp
2020002,2020-10-29,星期四,02 05 10 13 19 23 26 29 32 35 42 53 55 57 58 60 62 67 78 79,02 05 10 13 19 23 26 29 32 35 42 53 55 57 58 60 62 67 78 79,42 62 78 58 57 79 55 10 23 26 19 13 53 67 32 60 29 05 02 35,12207248,13892470.45,,zhcw_jsonp
2020003,2020-10-30,星期五,04 08 14 18 21 40 41 42 46 50 52 55 56 57 61 70 72 75 77 80,04 08 14 18 21 40 41 42 46 50 52 55 56 57 61 70 72 75 77 80,61 21 57 70 42 18 14 50 46 55 75 56 80 52 77 41 08 04 72 40,13427860,15066265.5,,zhcw_jsonp
2020004,2020-10-31,星期六,07 10 12 14 19 22 23 26 35 42 43 44 48 49 53 63 65 71 77 78,07 10 12 14 19 22 23 26 35 42 43 44 48 49 53 63 65 71 77 78,42 10 19 22 14 65 43 26 53 49 71 78 63 23 07 12 48 35 44 77,12151636,15856877.65,,zhcw_jsonp
2020005,2020-11-01,星期日,02 11 13 14 16 18 24 30 35 38 45 49 50 51 53 54 55 57 65 80,02 11 13 14 16 18 24 30 35 38 45 49 50 51 53 54 55 57 65 80,50 13 80 54 49 55 24 65 51 35 53 30 57 11 14 38 16 45 02 18,11517768,16689573.4,,zhcw_jsonp
2020006,2020-11-02,星期一,02 08 16 18 20 23 24 25 26 28 32 48 54 56 57 60 61 72 78 80,02 08 16 18 20 23 24 25 26 28 32 48 54 56 57 60 61 72 78 80,56 24 54 60 25 57 61 08 02 48 32 16 20 80 78 72 28 23 18 26,11320890,17423873.45,,zhcw_jsonp
2020007,2020-11-03,星期二,08 10 12 13 26 27 29 31 36 38 41 44 53 57 58 60 66 68 75 78,08 10 12 13 26 27 29 31 36 38 41 44 53 57 58 60 66 68 75 78,66 38 58 08 27 26 12 29 44 75 57 13 78 60 41 53 68 10 36 31,11042934,18150892.55,,zhcw_jsonp
2020008,2020-11-04,星期三,02 05 09 11 13 19 28 29 30 33 34 41 48 53 58 59 72 75 78 80,02 05 09 11 13 19 28 29 30 33 34 41 48 53 58 59 72 75 78 80,02 78 28 75 19 80 05 09 59 72 30 13 53 29 34 41 11 58 48 33,11416024,13562011.55,,zhcw_jsonp
2020009,2020-11-05,星期四,06 08 10 12 17 27 30 32 34 39 43 47 51 55 58 61 68 72 75 80,06 08 10 12 17 27 30 32 34 39 43 47 51 55 58 61 68 72 75 80,17 72 55 10 51 12 39 34 30 27 43 75 32 80 06 08 47 61 58 68,12525542,9188513.3,,zhcw_jsonp
2020010,2020-11-06,星期五,04 07 10 18 21 30 32 35 36 38 42 49 53 55 63 70 74 75 78 79,04 07 10 18 21 30 32 35 36 38 42 49 53 55 63 70 74 75 78 79,70 30 55 18 49 36 21 75 74 63 53 38 79 07 78 04 42 10 32 35,13685884,9945081.1,,zhcw_jsonp
2020011,2020-11-07,星期六,01 03 07 13 18 19 20 21 22 31 37 39 40 50 54 56 63 64 69 79,01 03 07 13 18 19 20 21 22 31 37 39 40 50 54 56 63 64 69 79,03 54 56 20 01 21 07 13 63 22 79 69 18 40 39 31 64 50 37 19,12485540,394626.65,,zhcw_jsonp
