play,pick_count,min_hit_probability,top_hit_probability,fixed_ev_yuan_per_2_yuan,fixed_return_rate,floating_note
选一,1,0.25,0.25,1.125,0.5625,
选二,2,0.060126582278481014,0.060126582278481014,1.1424050632911393,0.5712025316455697,
选三,3,0.15262901655306718,0.013875365141187927,1.13777994157741,0.568889970788705,
选四,4,0.25894674945307855,0.003063392303898633,1.139041338408427,0.5695206692042135,
选五,5,0.0966723150267454,0.0006449246955576069,1.1506689513018626,0.5753344756509313,
选六,6,0.16158208879727867,0.0001289849391115214,1.1391836012089176,0.5695918006044588,
选七,7,0.06158595082645715,2.440255604812567e-05,0.8689018132056107,0.43445090660280533,
选八,8,0.1906040392948664,4.345660666104571e-06,1.1579874013201568,0.5789937006600784,
选九,9,0.21679832991606876,7.242767776840952e-07,0.956961455071391,0.4784807275356955,浮动，25万封顶
选十,10,0.11045046617365567,1.122118951341556e-07,0.5786200118545151,0.28931000592725753,浮动，500万封顶
